pipeline,axis,t_name,r_name,is_identity,k_train,n_train,p_hat_train,cp_lcb_train,accepted_train,k_hold,n_hold,p_hat_hold,cp_lcb_hold,accepted_hold,stable
f_wrongrule,rule_threshold,strengthen_risk_threshold,R_ge,0,274,350,0.7829,0.7041,0,116,150,0.7733,0.6469,0,0
f_wrongrule,rule_threshold,strengthen_risk_threshold,R_sign_eq,0,310,350,0.8857,0.8208,0,133,150,0.8867,0.7802,0,0
f_wrongrule,rule_threshold,weaken_risk_threshold,R_eq,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_wrongrule,rule_threshold,weaken_risk_threshold,R_le,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_wrongrule,rule_threshold,weaken_risk_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,rule_threshold,weaken_risk_threshold,R_sign_eq,0,308,350,0.88,0.814,0,135,150,0.9,0.7971,0,0
f_wrongrule,rule_clause,add_strict_clause,R_eq,0,0,350,0.0,0.0,0,0,150,0.0,0.0,0,0
f_wrongrule,rule_clause,add_strict_clause,R_le,0,183,350,0.5229,0.4348,0,83,150,0.5533,0.4179,0,0
f_wrongrule,rule_clause,add_strict_clause,R_ge,0,167,350,0.4771,0.3901,0,67,150,0.4467,0.3165,0,0
f_wrongrule,rule_clause,add_strict_clause,R_sign_eq,0,282,350,0.8057,0.7293,0,119,150,0.7933,0.6694,0,0
f_wrongrule,rule_clause,remove_last_clause,R_eq,0,0,350,0.0,0.0,0,0,150,0.0,0.0,0,0
f_wrongrule,rule_clause,remove_last_clause,R_le,0,155,350,0.4429,0.357,0,66,150,0.44,0.3104,0,0
f_wrongrule,rule_clause,remove_last_clause,R_ge,0,195,350,0.5571,0.4688,0,84,150,0.56,0.4244,0,0
f_wrongrule,rule_clause,remove_last_clause,R_sign_eq,0,199,350,0.5686,0.4803,0,95,150,0.6333,0.4978,0,0
f_wrongrule,case_fact,case_revenue_up,R_eq,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_wrongrule,case_fact,case_revenue_up,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,case_fact,case_revenue_up,R_ge,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_wrongrule,case_fact,case_revenue_up,R_sign_eq,0,323,350,0.9229,0.8658,0,135,150,0.9,0.7971,0,0
f_wrongrule,case_fact,case_revenue_down,R_eq,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_wrongrule,case_fact,case_revenue_down,R_le,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_wrongrule,case_fact,case_revenue_down,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,case_fact,case_revenue_down,R_sign_eq,0,317,350,0.9057,0.8447,0,128,150,0.8533,0.7393,0,0
f_wrongrule,case_fact,case_team_plus,R_eq,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_wrongrule,case_fact,case_team_plus,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,case_fact,case_team_plus,R_ge,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_wrongrule,case_fact,case_team_plus,R_sign_eq,0,332,350,0.9486,0.8986,0,136,150,0.9067,0.8057,0,0
f_wrongrule,case_fact,case_team_minus,R_eq,0,310,350,0.8857,0.8208,0,128,150,0.8533,0.7393,0,0
f_wrongrule,case_fact,case_team_minus,R_le,0,310,350,0.8857,0.8208,0,128,150,0.8533,0.7393,0,0
f_wrongrule,case_fact,case_team_minus,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,case_fact,case_team_minus,R_sign_eq,0,331,350,0.9457,0.8949,0,140,150,0.9333,0.8412,0,0
f_wrongrule,case_fact,case_risk_up,R_eq,0,237,350,0.6771,0.5912,0,97,150,0.6467,0.5115,0,0
f_wrongrule,case_fact,case_risk_up,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,case_fact,case_risk_up,R_ge,0,237,350,0.6771,0.5912,0,97,150,0.6467,0.5115,0,0
f_wrongrule,case_fact,case_risk_up,R_sign_eq,0,296,350,0.8457,0.7743,0,125,150,0.8333,0.7155,0,0
f_wrongrule,case_fact,case_risk_down,R_eq,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_wrongrule,case_fact,case_risk_down,R_le,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_wrongrule,case_fact,case_risk_down,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,case_fact,case_risk_down,R_sign_eq,0,308,350,0.88,0.814,0,135,150,0.9,0.7971,0,0
f_ruleblind,identity,identity,R_eq,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,identity,identity,R_le,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,identity,identity,R_ge,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
