seal_sha256,draw,pipeline,axis,t_name,is_identity,r_name,k,n_eff,n_raw,p_hat,cp_lcb,accepted,skipped_low_neff,in_signature
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_up,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_up,0,R_sign_eq,149,195,195,0.7641,0.6537,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_eq_omega,148,195,195,0.759,0.6481,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_down_omega,47,195,195,0.241,0.1501,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_sign_eq,142,195,195,0.7282,0.6146,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_plus,0,R_eq_omega,168,195,195,0.8615,0.7651,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_plus,0,R_up_omega,29,195,195,0.1487,0.0776,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_plus,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_plus,0,R_sign_eq,154,195,195,0.7897,0.6822,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_minus,0,R_eq_omega,163,195,195,0.8359,0.7349,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_minus,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_minus,0,R_down_omega,33,195,195,0.1692,0.093,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_minus,0,R_sign_eq,155,195,195,0.7949,0.6879,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_up,0,R_eq_omega,153,195,195,0.7846,0.6764,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_up,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_up,0,R_down_omega,43,195,195,0.2205,0.1333,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_up,0,R_sign_eq,139,195,195,0.7128,0.5981,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_down,0,R_eq_omega,179,195,195,0.9179,0.8351,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_down,0,R_up_omega,16,195,195,0.0821,0.0318,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_down,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_risk_down,0,R_sign_eq,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,identity,identity,1,R_eq_omega,195,195,195,1.0,0.9624,1,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,identity,identity,1,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,identity,identity,1,R_down_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,identity,identity,1,R_sign_eq,166,195,195,0.8513,0.7529,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_founders,0,R_eq_omega,148,148,195,1.0,0.9508,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_founders,0,R_up_omega,0,148,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_founders,0,R_down_omega,0,148,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_founders,0,R_sign_eq,129,148,195,0.8716,0.7606,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_risks,0,R_eq_omega,122,122,195,1.0,0.9406,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_risks,0,R_up_omega,0,122,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_risks,0,R_down_omega,0,122,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,order,permute_risks,0,R_sign_eq,105,122,195,0.8607,0.7336,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,replace_description,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,replace_description,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,replace_description,0,R_down_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,replace_description,0,R_sign_eq,166,195,195,0.8513,0.7529,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,blank_description,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,blank_description,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,blank_description,0,R_down_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,optional,blank_description,0,R_sign_eq,166,195,195,0.8513,0.7529,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_down_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_sign_eq,166,195,195,0.8513,0.7529,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_eq_omega,165,165,195,1.0,0.9557,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_up_omega,0,165,195,0.0,0.0,0,0,0
